ID;Perioden;Huurverhoging_1;Year
0;1959-01-01;0.0;1959
1;1960-01-01;11.0;1960
2;1961-01-01;2.9;1961
3;1962-01-01;2.3;1962
4;1963-01-01;6.0;1963
5;1964-01-01;4.8;1964
6;1965-01-01;4.7;1965
7;1966-01-01;7.7;1966
8;1967-01-01;4.3;1967
9;1968-01-01;7.5;1968
10;1969-01-01;7.0;1969
11;1970-01-01;5.0;1970
12;1971-01-01;8.7;1971
13;1972-01-01;8.0;1972
14;1973-01-01;8.8;1973
15;1974-01-01;6.9;1974
16;1975-01-01;6.2;1975
17;1976-01-01;10.7;1976
18;1977-01-01;7.7;1977
19;1978-01-01;7.5;1978
20;1979-01-01;5.8;1979
21;1980-01-01;7.2;1980
22;1981-01-01;7.8;1981
23;1982-01-01;8.4;1982
24;1983-01-01;6.8;1983
25;1984-01-01;3.6;1984
26;1985-01-01;3.4;1985
27;1986-01-01;2.6;1986
28;1987-01-01;3.0;1987
29;1988-01-01;3.6;1988
30;1989-01-01;3.2;1989
31;1990-01-01;3.3;1990
32;1991-01-01;5.9;1991
33;1992-01-01;5.6;1992
34;1993-01-01;5.4;1993
35;1994-01-01;5.1;1994
36;1995-01-01;4.5;1995
37;1996-01-01;4.1;1996
38;1997-01-01;3.8;1997
39;1998-01-01;3.4;1998
40;1999-01-01;3.0;1999
41;2000-01-01;2.6;2000
42;2001-01-01;2.7;2001
43;2002-01-01;2.9;2002
44;2003-01-01;3.2;2003
45;2004-01-01;3.1;2004
46;2005-01-01;2.0;2005
47;2006-01-01;2.7;2006
48;2007-01-01;1.4;2007
49;2008-01-01;1.9;2008
50;2009-01-01;2.8;2009
51;2010-01-01;1.6;2010
52;2011-01-01;1.8;2011
53;2012-01-01;2.8;2012
54;2013-01-01;4.7;2013
55;2014-01-01;4.4;2014
56;2015-01-01;2.4;2015
57;2016-01-01;1.9;2016
58;2017-01-01;1.6;2017
59;2018-01-01;2.3;2018
60;2019-01-01;2.5;2019
61;2020-01-01;2.9;2020
62;2021-01-01;0.8;2021
63;2022-01-01;3.0;2022
64;2023-01-01;2.0;2023
